Date,WorkingDay,Weekend,LegalHoliday
2019/4/1,YES,,
2019/4/2,YES,,
2019/4/3,YES,,
2019/4/4,YES,,
2019/4/5,,,YES
2019/4/6,,YES,
2019/4/7,,YES,
2019/4/8,YES,,
2019/4/9,YES,,
2019/4/10,YES,,
2019/4/11,YES,,
2019/4/12,YES,,
2019/4/13,,YES,
2019/4/14,,YES,
2019/4/15,YES,,
2019/4/16,YES,,
2019/4/17,YES,,
2019/4/18,YES,,
2019/4/19,YES,,
2019/4/20,,YES,
2019/4/21,,YES,
2019/4/22,YES,,
2019/4/23,YES,,
2019/4/24,YES,,
2019/4/25,YES,,
2019/4/26,YES,,
2019/4/27,,YES,
2019/4/28,YES,,
2019/4/29,YES,,
2019/4/30,YES,,
2019/5/1,,,YES
2019/5/2,,,YES
2019/5/3,,,YES
2019/5/4,,,YES
2019/5/5,YES,,
2019/5/6,YES,,
2019/5/7,YES,,
2019/5/8,YES,,
2019/5/9,YES,,
2019/5/10,YES,,
2019/5/11,,YES,
2019/5/12,,YES,
2019/5/13,YES,,
2019/5/14,YES,,
2019/5/15,YES,,
2019/5/16,YES,,
2019/5/17,YES,,
2019/5/18,,YES,
2019/5/19,,YES,
2019/5/20,YES,,
2019/5/21,YES,,
2019/5/22,YES,,
2019/5/23,YES,,
2019/5/24,YES,,
2019/5/25,,YES,
2019/5/26,,YES,
2019/5/27,YES,,
2019/5/28,YES,,
2019/5/29,YES,,
2019/5/30,YES,,
2019/5/31,YES,,
